Date,Close,High,Low,Open,Volume
2025-08-13,8248.5,8309.5,8189.0,8214.5,367519
2025-08-14,8213.5,8280.0,8198.0,8250.0,364270
2025-08-18,8588.5,8629.5,8400.0,8400.0,995976
2025-08-19,8795.5,8856.0,8586.0,8609.0,1052384
2025-08-20,8827.5,8872.5,8763.5,8794.5,490202
2025-08-21,8684.5,8869.0,8630.0,8835.0,510564
2025-08-22,8679.5,8715.0,8581.0,8684.5,369875
2025-08-25,8750.5,8764.0,8633.5,8750.0,360880
2025-08-26,8691.5,8825.0,8646.0,8730.0,778390
2025-08-28,8689.5,8798.0,8661.0,8798.0,394657
2025-08-29,8631.5,8730.0,8571.5,8714.0,344340
2025-09-01,8967.0,9037.5,8665.0,8665.0,658701
2025-09-02,9030.5,9109.5,8926.0,8970.0,548186
2025-09-03,9116.0,9129.5,8992.0,9052.0,322758
2025-09-04,9071.0,9353.5,9046.5,9350.0,652617
2025-09-05,9084.5,9172.0,9053.0,9117.0,231190
2025-09-08,9433.5,9490.0,9073.0,9102.0,713087
2025-09-09,9383.0,9428.5,9236.5,9390.5,505482
2025-09-10,9244.0,9440.0,9180.0,9425.0,454231
2025-09-11,9113.5,9243.5,9075.0,9243.5,472941
2025-09-12,8999.5,9205.0,8979.5,9115.0,481492
2025-09-15,9025.0,9091.5,8964.0,9026.5,325549
2025-09-16,9072.5,9099.0,9020.0,9032.0,219134
2025-09-17,9084.0,9136.0,9070.0,9076.5,172732
2025-09-18,9075.0,9115.0,9025.0,9099.5,183574
2025-09-19,8971.5,9063.5,8950.5,9050.0,467648
2025-09-22,9054.5,9195.0,8959.5,8971.5,525239
2025-09-23,8984.5,9225.0,8950.0,9079.0,451186
2025-09-24,8839.0,8999.0,8804.0,8990.0,240914
2025-09-25,8842.5,8910.0,8758.0,8821.0,441002
2025-09-26,8702.0,8880.0,8668.0,8830.0,335841
2025-09-29,8717.5,8829.0,8675.5,8745.0,394174
2025-09-30,8678.5,8769.0,8640.0,8721.0,285609
2025-10-01,8626.5,8846.5,8586.5,8720.0,551282
2025-10-03,8679.5,8698.5,8491.5,8626.5,915075
2025-10-06,8792.0,8803.5,8651.0,8698.0,300715
2025-10-07,8904.0,8915.0,8785.5,8800.0,490577
2025-10-08,8792.0,8903.0,8750.5,8903.0,408647
2025-10-09,8810.0,8817.5,8701.5,8775.0,217161
2025-10-10,8946.5,8955.0,8781.5,8816.0,228686
2025-10-13,9066.0,9084.0,8917.0,8947.0,374531
2025-10-14,9102.5,9120.0,9032.5,9100.0,297332
2025-10-15,8998.0,9180.0,8955.5,9106.5,300055
2025-10-16,9151.5,9177.0,9022.0,9030.0,334619
2025-10-17,9150.5,9194.5,9090.5,9150.0,466036
2025-10-20,9124.5,9236.5,9100.5,9194.5,303686
